,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0137,0.4484,0.0638,0.0338,0.4404,0.0303,0.4326,0.4148,0.3474
30dayR2,0.0269,0.549,0.0546,0.0153,0.547,0.0224,0.5309,0.5032,0.4334
50dayR2,0.0371,0.5175,0.0549,0.0111,0.5235,0.0177,0.493,0.4886,0.406
80dayR2,0.0514,0.4663,0.0553,0.0059,0.4811,0.0107,0.4367,0.4497,0.359
110dayR2,0.0708,0.401,0.0461,0.0022,0.4225,0.0032,0.3674,0.3934,0.3111
130dayR2,0.0815,0.3556,0.0441,0.0012,0.3806,0.0012,0.3201,0.3561,0.2773
150dayR2,0.0921,0.3175,0.0415,0.0006,0.3451,0.0001,0.2808,0.3248,0.2509
180dayR2,0.1147,0.2529,0.0339,0.0,0.2845,0.001,0.2151,0.2722,0.2089
10dayPvalues,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30dayPvalues,0.0001,0.0,0.0,0.003,0.0,0.0003,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0,0.0118,0.0,0.0014,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0,0.067,0.0,0.0141,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0,0.2635,0.0,0.1832,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.0,0.4223,0.0,0.4191,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.0,0.5803,0.0,0.7945,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.0,0.8954,0.0,0.4601,0.0,0.0,0.0
