Date,return,pred
2022-01-05,0.005482306247940642,-1
2022-01-12,-0.040959795197408146,-1
2022-01-19,-0.04033515987991932,-1
2022-01-26,0.05504679324840995,-1
2022-02-02,-0.0004793037594224948,-1
2022-02-09,-0.02445302034318852,-1
2022-02-16,-0.05575625053192534,1
2022-02-23,0.038111475343154656,1
2022-03-02,-0.024771267395799962,1
2022-03-09,0.018696172557366667,-1
2022-03-16,0.022575386584293353,-1
2022-03-23,0.032810161312590534,-1
2022-03-30,-0.026355590570494785,-1
2022-04-06,-0.007712319236558958,-1
2022-04-13,0.002892183001896643,1
2022-04-20,-0.06177672634724756,1
2022-04-27,0.027775113056163384,-1
2022-05-04,-0.08487803897647576,-1
2022-05-11,-0.0029223568425765754,-1
2022-05-18,0.014030208831306658,1
2022-05-25,0.030788719164492735,-1
2022-06-01,0.0035452874215159587,1
2022-06-08,-0.07915408969667807,-1
2022-06-15,-0.00794199924902403,-1
2022-06-22,0.015676040317888194,-1
2022-06-29,0.0068738329443787235,-1
2022-07-06,-0.011261156581487809,-1
2022-07-13,0.041591010481508234,1
2022-07-20,0.016088842306447387,1
2022-07-27,0.032696958935074814,-1
2022-08-03,0.013253444151605186,-1
2022-08-10,0.015153483206634864,-1
2022-08-17,-0.031181275400611934,-1
2022-08-24,-0.04486364097861195,1
2022-08-31,0.006288272360935525,1
2022-09-07,-0.008507842322704568,-1
2022-09-14,-0.03955389817530403,1
2022-09-21,-0.018704802953292972,1
2022-09-28,0.017273272016336962,1
2022-10-05,-0.05451618659016676,1
2022-10-12,0.03302457117915792,1
2022-10-19,0.03665340303758579,1
2022-10-26,-0.01851150066366529,1
2022-11-02,-0.0029576569398474905,1
2022-11-09,0.056080043021613124,1
2022-11-16,0.017295681263091108,-1
2022-11-23,0.013123090520129025,-1
2022-11-30,-0.03582996088290596,-1
2022-12-07,0.015607879088476774,-1
2022-12-14,-0.02925425872103415,1
2022-12-21,-0.02455110099464374,-1
2022-12-28,0.018436675778870114,1
2023-01-04,0.030272786345506984,1
2023-01-11,-0.01026549179825263,-1
2023-01-18,0.022235422207123504,-1
2023-01-25,0.02564351329998103,1
2023-02-01,-0.0003277564554982597,1
2023-02-08,0.007222255094252279,-1
2023-02-15,-0.037744730721891245,1
2023-02-22,0.00024052841376466055,1
2023-03-08,-0.025070096988778795,1
2023-03-15,0.011572674702165971,-1
2023-03-22,0.023073604463993758,1
2023-03-29,0.015534452545807317,-1
2023-04-05,0.0003838441426852115,1
2023-04-12,0.015291015067634403,1
2023-04-19,-0.02371634480846527,1
2023-04-26,0.008570043281496461,1
2023-05-03,0.011462479183218237,1
2023-05-10,0.005106747352189143,1
2023-05-17,-0.010466985419202478,1
2023-05-24,0.015695279029028435,-1
2023-05-31,0.020979307715204107,1
2023-06-07,0.0246208157754093,1
2023-06-14,-0.0015779898390452598,-1
2023-06-21,0.002558569670525436,1
2023-06-28,0.015984053207737915,1
2023-07-05,0.005698529068625347,-1
2023-07-12,0.020920551886541128,-1
2023-07-19,0.00022554714432610973,-1
2023-07-26,-0.011684428374938414,-1
2023-08-02,-0.010121034166671806,1
2023-08-09,-0.014186212481707391,1
2023-08-16,0.007192850430839324,1
2023-08-23,0.01777731694226538,1
2023-08-30,-0.010939436891158491,-1
2023-09-06,-0.00321126593618604,1
2023-09-07,0.003661939230589073,1
2023-09-13,-0.014603385148858653,1
2023-09-20,-0.02900604789020405,1
2023-09-27,-0.002517192898125653,1
2023-10-04,0.026549444810905893,1
2023-10-11,-0.01424510101189269,-1
2023-10-18,-0.029627329354217337,1
2023-10-25,0.01220268691895334,1
2023-11-01,0.03419648750791698,1
2023-11-08,0.02740272236880556,1
2023-11-15,0.011934636449026002,-1
2023-11-22,-0.001325552472482195,-1
2023-11-29,-0.00027254423693407907,-1
2023-12-06,0.034675360693644595,-1
2023-12-13,-0.0018567196258967732,-1
2023-12-20,0.017714725113879632,-1
2023-12-27,-0.016055366275775897,-1
2024-01-03,0.016714837738264664,1
2024-01-10,,-1
